policy,comparator,scenario,month,state_return,trend_return,return_difference,relative_log_wealth_contribution,fraction_of_full_relative_log_wealth
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-01,0.01597515945659822,0.022365905283883381,-0.0063907458272851603,-0.0062705568543969976,-0.65558111275851139
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-02,-0.097762103213323903,-0.10420556567921557,0.0064434624658916695,0.007167268282818412,0.74933149086975759
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-03,-0.0034937066445327458,-0.0034937066445323017,-4.4408920985006262e-16,-1.1969591984239969e-16,-1.2514101402000605e-14
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-04,0.044967661415257654,0.044967661415257654,0,-9.7144514654701197e-17,-1.0156372152348317e-14
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-05,0.04594774802451318,0.045947748024512736,4.4408920985006262e-16,5.620504062164855e-16,5.8761867452872404e-14
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-06,0.0059388126554598131,0.0073377254018078819,-0.0013989127463480688,-0.001389687849672059,-0.1452906221934897
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-07,0.11422511031286664,0.098933628052100708,0.015291482260765932,0.013818914419845563,1.4447551474036007
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-08,0.032955996347659999,0.032955996347660221,-2.2204460492503131e-16,5.134781488891349e-16,5.3683681376698246e-14
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-09,-0.00054356956395751332,-0.00054356956395806844,5.5511151231257827e-16,3.2873009869760494e-16,3.4368437908392966e-14
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-10,-0.018069662512201545,-0.016700840258607075,-0.0013688222535944705,-0.0013930408401473943,-0.14564117434985002
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-11,-0.085046031866611194,-0.082876840890728665,-0.002169190975882529,-0.00236801383224583,-0.24757372897156446
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025-12,0.0020349905004679592,0.0020349905004686253,-6.6613381477509392e-16,-5.4990734188464785e-16,-5.7492320933828866e-14
